run_id,plan_type,config_id,seed,variant,pairing_key,source_materialization_id,source_materialization,source_validation_report,destination_directory,duration_seconds,density,workload,ga_parameter_scaling_mode,status,output_path,baseline_run_id,baseline_summary,baseline_metrics_key
G02B-CFG-N-I-207547-LOCAL_ONLY,scientific,CFG-N-I,207547,LOCAL_ONLY,CFG-N-I|207547,MAT-CFG-N-I-207547,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-I/207547,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-I/207547/reports/final_campaign_validation_report.json,tmp/materialized-literature-scenarios/g02b-ablation/scientific/CFG-N-I/207547/LOCAL_ONLY,300,nominal,WL-I,STATIC,PLANNED,tmp/g02b-ablation/results/scientific/CFG-N-I/207547/LOCAL_ONLY,N-I-05,test-results/final-campaign/G02_main_factorial_experiments/run-summaries/CFG-N-I/N-I-05-207547.json,CFG-N-I|207547
G02B-CFG-N-I-207547-NO_MOBILITY_PENALTY,scientific,CFG-N-I,207547,NO_MOBILITY_PENALTY,CFG-N-I|207547,MAT-CFG-N-I-207547,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-I/207547,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-I/207547/reports/final_campaign_validation_report.json,tmp/materialized-literature-scenarios/g02b-ablation/scientific/CFG-N-I/207547/NO_MOBILITY_PENALTY,300,nominal,WL-I,STATIC,PLANNED,tmp/g02b-ablation/results/scientific/CFG-N-I/207547/NO_MOBILITY_PENALTY,N-I-05,test-results/final-campaign/G02_main_factorial_experiments/run-summaries/CFG-N-I/N-I-05-207547.json,CFG-N-I|207547
G02B-CFG-N-I-207547-COLD_START_NO_REUSE,scientific,CFG-N-I,207547,COLD_START_NO_REUSE,CFG-N-I|207547,MAT-CFG-N-I-207547,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-I/207547,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-I/207547/reports/final_campaign_validation_report.json,tmp/materialized-literature-scenarios/g02b-ablation/scientific/CFG-N-I/207547/COLD_START_NO_REUSE,300,nominal,WL-I,STATIC,PLANNED,tmp/g02b-ablation/results/scientific/CFG-N-I/207547/COLD_START_NO_REUSE,N-I-05,test-results/final-campaign/G02_main_factorial_experiments/run-summaries/CFG-N-I/N-I-05-207547.json,CFG-N-I|207547
G02B-CFG-N-S-104729-LOCAL_ONLY,scientific,CFG-N-S,104729,LOCAL_ONLY,CFG-N-S|104729,MAT-CFG-N-S-104729,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-S/104729,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-S/104729/reports/final_campaign_validation_report.json,tmp/materialized-literature-scenarios/g02b-ablation/scientific/CFG-N-S/104729/LOCAL_ONLY,300,nominal,WL-S,STATIC,PLANNED,tmp/g02b-ablation/results/scientific/CFG-N-S/104729/LOCAL_ONLY,N-S-01,test-results/final-campaign/G02_main_factorial_experiments/run-summaries/CFG-N-S/N-S-01-104729.json,CFG-N-S|104729
G02B-CFG-N-S-104729-NO_MOBILITY_PENALTY,scientific,CFG-N-S,104729,NO_MOBILITY_PENALTY,CFG-N-S|104729,MAT-CFG-N-S-104729,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-S/104729,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-S/104729/reports/final_campaign_validation_report.json,tmp/materialized-literature-scenarios/g02b-ablation/scientific/CFG-N-S/104729/NO_MOBILITY_PENALTY,300,nominal,WL-S,STATIC,PLANNED,tmp/g02b-ablation/results/scientific/CFG-N-S/104729/NO_MOBILITY_PENALTY,N-S-01,test-results/final-campaign/G02_main_factorial_experiments/run-summaries/CFG-N-S/N-S-01-104729.json,CFG-N-S|104729
G02B-CFG-N-S-104729-COLD_START_NO_REUSE,scientific,CFG-N-S,104729,COLD_START_NO_REUSE,CFG-N-S|104729,MAT-CFG-N-S-104729,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-S/104729,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-S/104729/reports/final_campaign_validation_report.json,tmp/materialized-literature-scenarios/g02b-ablation/scientific/CFG-N-S/104729/COLD_START_NO_REUSE,300,nominal,WL-S,STATIC,PLANNED,tmp/g02b-ablation/results/scientific/CFG-N-S/104729/COLD_START_NO_REUSE,N-S-01,test-results/final-campaign/G02_main_factorial_experiments/run-summaries/CFG-N-S/N-S-01-104729.json,CFG-N-S|104729
G02B-CFG-N-S-130363-LOCAL_ONLY,scientific,CFG-N-S,130363,LOCAL_ONLY,CFG-N-S|130363,MAT-CFG-N-S-130363,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-S/130363,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-S/130363/reports/final_campaign_validation_report.json,tmp/materialized-literature-scenarios/g02b-ablation/scientific/CFG-N-S/130363/LOCAL_ONLY,300,nominal,WL-S,STATIC,PLANNED,tmp/g02b-ablation/results/scientific/CFG-N-S/130363/LOCAL_ONLY,N-S-02,test-results/final-campaign/G02_main_factorial_experiments/run-summaries/CFG-N-S/N-S-02-130363.json,CFG-N-S|130363
G02B-CFG-N-S-130363-NO_MOBILITY_PENALTY,scientific,CFG-N-S,130363,NO_MOBILITY_PENALTY,CFG-N-S|130363,MAT-CFG-N-S-130363,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-S/130363,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-S/130363/reports/final_campaign_validation_report.json,tmp/materialized-literature-scenarios/g02b-ablation/scientific/CFG-N-S/130363/NO_MOBILITY_PENALTY,300,nominal,WL-S,STATIC,PLANNED,tmp/g02b-ablation/results/scientific/CFG-N-S/130363/NO_MOBILITY_PENALTY,N-S-02,test-results/final-campaign/G02_main_factorial_experiments/run-summaries/CFG-N-S/N-S-02-130363.json,CFG-N-S|130363
G02B-CFG-N-S-130363-COLD_START_NO_REUSE,scientific,CFG-N-S,130363,COLD_START_NO_REUSE,CFG-N-S|130363,MAT-CFG-N-S-130363,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-S/130363,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-S/130363/reports/final_campaign_validation_report.json,tmp/materialized-literature-scenarios/g02b-ablation/scientific/CFG-N-S/130363/COLD_START_NO_REUSE,300,nominal,WL-S,STATIC,PLANNED,tmp/g02b-ablation/results/scientific/CFG-N-S/130363/COLD_START_NO_REUSE,N-S-02,test-results/final-campaign/G02_main_factorial_experiments/run-summaries/CFG-N-S/N-S-02-130363.json,CFG-N-S|130363
G02B-CFG-N-S-155921-LOCAL_ONLY,scientific,CFG-N-S,155921,LOCAL_ONLY,CFG-N-S|155921,MAT-CFG-N-S-155921,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-S/155921,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-S/155921/reports/final_campaign_validation_report.json,tmp/materialized-literature-scenarios/g02b-ablation/scientific/CFG-N-S/155921/LOCAL_ONLY,300,nominal,WL-S,STATIC,PLANNED,tmp/g02b-ablation/results/scientific/CFG-N-S/155921/LOCAL_ONLY,N-S-03,test-results/final-campaign/G02_main_factorial_experiments/run-summaries/CFG-N-S/N-S-03-155921.json,CFG-N-S|155921
G02B-CFG-N-S-155921-NO_MOBILITY_PENALTY,scientific,CFG-N-S,155921,NO_MOBILITY_PENALTY,CFG-N-S|155921,MAT-CFG-N-S-155921,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-S/155921,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-S/155921/reports/final_campaign_validation_report.json,tmp/materialized-literature-scenarios/g02b-ablation/scientific/CFG-N-S/155921/NO_MOBILITY_PENALTY,300,nominal,WL-S,STATIC,PLANNED,tmp/g02b-ablation/results/scientific/CFG-N-S/155921/NO_MOBILITY_PENALTY,N-S-03,test-results/final-campaign/G02_main_factorial_experiments/run-summaries/CFG-N-S/N-S-03-155921.json,CFG-N-S|155921
G02B-CFG-N-S-155921-COLD_START_NO_REUSE,scientific,CFG-N-S,155921,COLD_START_NO_REUSE,CFG-N-S|155921,MAT-CFG-N-S-155921,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-S/155921,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-S/155921/reports/final_campaign_validation_report.json,tmp/materialized-literature-scenarios/g02b-ablation/scientific/CFG-N-S/155921/COLD_START_NO_REUSE,300,nominal,WL-S,STATIC,PLANNED,tmp/g02b-ablation/results/scientific/CFG-N-S/155921/COLD_START_NO_REUSE,N-S-03,test-results/final-campaign/G02_main_factorial_experiments/run-summaries/CFG-N-S/N-S-03-155921.json,CFG-N-S|155921
G02B-CFG-N-S-181081-LOCAL_ONLY,scientific,CFG-N-S,181081,LOCAL_ONLY,CFG-N-S|181081,MAT-CFG-N-S-181081,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-S/181081,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-S/181081/reports/final_campaign_validation_report.json,tmp/materialized-literature-scenarios/g02b-ablation/scientific/CFG-N-S/181081/LOCAL_ONLY,300,nominal,WL-S,STATIC,PLANNED,tmp/g02b-ablation/results/scientific/CFG-N-S/181081/LOCAL_ONLY,N-S-04,test-results/final-campaign/G02_main_factorial_experiments/run-summaries/CFG-N-S/N-S-04-181081.json,CFG-N-S|181081
G02B-CFG-N-S-181081-NO_MOBILITY_PENALTY,scientific,CFG-N-S,181081,NO_MOBILITY_PENALTY,CFG-N-S|181081,MAT-CFG-N-S-181081,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-S/181081,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-S/181081/reports/final_campaign_validation_report.json,tmp/materialized-literature-scenarios/g02b-ablation/scientific/CFG-N-S/181081/NO_MOBILITY_PENALTY,300,nominal,WL-S,STATIC,PLANNED,tmp/g02b-ablation/results/scientific/CFG-N-S/181081/NO_MOBILITY_PENALTY,N-S-04,test-results/final-campaign/G02_main_factorial_experiments/run-summaries/CFG-N-S/N-S-04-181081.json,CFG-N-S|181081
G02B-CFG-N-S-181081-COLD_START_NO_REUSE,scientific,CFG-N-S,181081,COLD_START_NO_REUSE,CFG-N-S|181081,MAT-CFG-N-S-181081,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-S/181081,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-S/181081/reports/final_campaign_validation_report.json,tmp/materialized-literature-scenarios/g02b-ablation/scientific/CFG-N-S/181081/COLD_START_NO_REUSE,300,nominal,WL-S,STATIC,PLANNED,tmp/g02b-ablation/results/scientific/CFG-N-S/181081/COLD_START_NO_REUSE,N-S-04,test-results/final-campaign/G02_main_factorial_experiments/run-summaries/CFG-N-S/N-S-04-181081.json,CFG-N-S|181081
G02B-CFG-N-S-207547-LOCAL_ONLY,scientific,CFG-N-S,207547,LOCAL_ONLY,CFG-N-S|207547,MAT-CFG-N-S-207547,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-S/207547,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-S/207547/reports/final_campaign_validation_report.json,tmp/materialized-literature-scenarios/g02b-ablation/scientific/CFG-N-S/207547/LOCAL_ONLY,300,nominal,WL-S,STATIC,PLANNED,tmp/g02b-ablation/results/scientific/CFG-N-S/207547/LOCAL_ONLY,N-S-05,test-results/final-campaign/G02_main_factorial_experiments/run-summaries/CFG-N-S/N-S-05-207547.json,CFG-N-S|207547
G02B-CFG-N-S-207547-NO_MOBILITY_PENALTY,scientific,CFG-N-S,207547,NO_MOBILITY_PENALTY,CFG-N-S|207547,MAT-CFG-N-S-207547,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-S/207547,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-S/207547/reports/final_campaign_validation_report.json,tmp/materialized-literature-scenarios/g02b-ablation/scientific/CFG-N-S/207547/NO_MOBILITY_PENALTY,300,nominal,WL-S,STATIC,PLANNED,tmp/g02b-ablation/results/scientific/CFG-N-S/207547/NO_MOBILITY_PENALTY,N-S-05,test-results/final-campaign/G02_main_factorial_experiments/run-summaries/CFG-N-S/N-S-05-207547.json,CFG-N-S|207547
G02B-CFG-N-S-207547-COLD_START_NO_REUSE,scientific,CFG-N-S,207547,COLD_START_NO_REUSE,CFG-N-S|207547,MAT-CFG-N-S-207547,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-S/207547,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-S/207547/reports/final_campaign_validation_report.json,tmp/materialized-literature-scenarios/g02b-ablation/scientific/CFG-N-S/207547/COLD_START_NO_REUSE,300,nominal,WL-S,STATIC,PLANNED,tmp/g02b-ablation/results/scientific/CFG-N-S/207547/COLD_START_NO_REUSE,N-S-05,test-results/final-campaign/G02_main_factorial_experiments/run-summaries/CFG-N-S/N-S-05-207547.json,CFG-N-S|207547
G02B-CFG-H-I-104729-LOCAL_ONLY,scientific,CFG-H-I,104729,LOCAL_ONLY,CFG-H-I|104729,MAT-CFG-H-I-104729,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-H-I/104729,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-H-I/104729/reports/final_campaign_validation_report.json,tmp/materialized-literature-scenarios/g02b-ablation/scientific/CFG-H-I/104729/LOCAL_ONLY,300,high_density,WL-I,STATIC,PLANNED,tmp/g02b-ablation/results/scientific/CFG-H-I/104729/LOCAL_ONLY,H-I-01,test-results/final-campaign/G02_main_factorial_experiments/run-summaries/CFG-H-I/H-I-01-104729.json,CFG-H-I|104729
G02B-CFG-H-I-104729-NO_MOBILITY_PENALTY,scientific,CFG-H-I,104729,NO_MOBILITY_PENALTY,CFG-H-I|104729,MAT-CFG-H-I-104729,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-H-I/104729,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-H-I/104729/reports/final_campaign_validation_report.json,tmp/materialized-literature-scenarios/g02b-ablation/scientific/CFG-H-I/104729/NO_MOBILITY_PENALTY,300,high_density,WL-I,STATIC,PLANNED,tmp/g02b-ablation/results/scientific/CFG-H-I/104729/NO_MOBILITY_PENALTY,H-I-01,test-results/final-campaign/G02_main_factorial_experiments/run-summaries/CFG-H-I/H-I-01-104729.json,CFG-H-I|104729
G02B-CFG-H-I-104729-COLD_START_NO_REUSE,scientific,CFG-H-I,104729,COLD_START_NO_REUSE,CFG-H-I|104729,MAT-CFG-H-I-104729,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-H-I/104729,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-H-I/104729/reports/final_campaign_validation_report.json,tmp/materialized-literature-scenarios/g02b-ablation/scientific/CFG-H-I/104729/COLD_START_NO_REUSE,300,high_density,WL-I,STATIC,PLANNED,tmp/g02b-ablation/results/scientific/CFG-H-I/104729/COLD_START_NO_REUSE,H-I-01,test-results/final-campaign/G02_main_factorial_experiments/run-summaries/CFG-H-I/H-I-01-104729.json,CFG-H-I|104729
G02B-CFG-H-I-130363-LOCAL_ONLY,scientific,CFG-H-I,130363,LOCAL_ONLY,CFG-H-I|130363,MAT-CFG-H-I-130363,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-H-I/130363,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-H-I/130363/reports/final_campaign_validation_report.json,tmp/materialized-literature-scenarios/g02b-ablation/scientific/CFG-H-I/130363/LOCAL_ONLY,300,high_density,WL-I,STATIC,PLANNED,tmp/g02b-ablation/results/scientific/CFG-H-I/130363/LOCAL_ONLY,H-I-02,test-results/final-campaign/G02_main_factorial_experiments/run-summaries/CFG-H-I/H-I-02-130363.json,CFG-H-I|130363
G02B-CFG-H-I-130363-NO_MOBILITY_PENALTY,scientific,CFG-H-I,130363,NO_MOBILITY_PENALTY,CFG-H-I|130363,MAT-CFG-H-I-130363,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-H-I/130363,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-H-I/130363/reports/final_campaign_validation_report.json,tmp/materialized-literature-scenarios/g02b-ablation/scientific/CFG-H-I/130363/NO_MOBILITY_PENALTY,300,high_density,WL-I,STATIC,PLANNED,tmp/g02b-ablation/results/scientific/CFG-H-I/130363/NO_MOBILITY_PENALTY,H-I-02,test-results/final-campaign/G02_main_factorial_experiments/run-summaries/CFG-H-I/H-I-02-130363.json,CFG-H-I|130363
G02B-CFG-H-I-130363-COLD_START_NO_REUSE,scientific,CFG-H-I,130363,COLD_START_NO_REUSE,CFG-H-I|130363,MAT-CFG-H-I-130363,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-H-I/130363,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-H-I/130363/reports/final_campaign_validation_report.json,tmp/materialized-literature-scenarios/g02b-ablation/scientific/CFG-H-I/130363/COLD_START_NO_REUSE,300,high_density,WL-I,STATIC,PLANNED,tmp/g02b-ablation/results/scientific/CFG-H-I/130363/COLD_START_NO_REUSE,H-I-02,test-results/final-campaign/G02_main_factorial_experiments/run-summaries/CFG-H-I/H-I-02-130363.json,CFG-H-I|130363
